t,x(t)
0,-1.6,0.
1,-1.587457646376534,-0.1302800825107355
2,-1.5815925279139567,-0.2544892221043469
3,-1.5820744483839888,-0.3734307460941539
4,-1.5886072234380877,-0.487847130969021
5,-1.6009265850743146,-0.5984264817406719
6,-1.6187980052060504,-0.7058083228523643
7,-1.6420144950100535,-0.8105890479608795
8,-1.6703944918293878,-0.9133267716439383
9,-1.7037798793426884,-1.0145456949703866
10,-1.7420338539837608,-1.1147403231881228
11,-1.785038916574101,-1.214379348558088
12,-1.832694905632371,-1.3139091786717967
13,-1.8849170448711572,-1.4137572446690447
14,-1.9416339866371612,-1.5143351090069144
15,-2.002785832027384,-1.616041399103582
16,-2.068322033863354,-1.7192646524540012
17,-2.138199646153254,-1.8243856190685284
18,-2.2123804244349787,-1.9317804668585934
19,-2.290829111404163,-2.0418225826686007
20,-2.3735105246747294,-2.154885265346725
21,-2.4603870283638094,-2.271343762296316
22,-2.5514155059991954,-2.391577488938709
23,-2.6465432365234705,-2.515972550548252
24,-2.7457058785780224,-2.644922604958554
25,-2.848821165084365,-2.7788320647222036
26,-2.95578474186543,-2.918117161017911
27,-3.066467106614271,-3.0632065176999688
28,-3.1807025233557127,-3.214544489201248
29,-3.298286259027461,-3.372589893396662
30,-3.4189670703863704,-3.537816802234841
31,-3.5424313231839184,-3.7107155629548156
32,-3.668302863510253,-3.8917891332799694
33,-3.7961241673620223,-4.081552363705634
34,-3.925345220513433,-4.280527572119401
35,-4.055308779185008,-4.489238392527382
36,-4.185235142957349,-4.708201403826823
37,-4.314205182751894,-4.9379149683813095
38,-4.441141185757219,-5.178844219488686
39,-4.564783826206214,-5.431399809244216
40,-4.683677615058459,-5.69591387750543
41,-4.796147408874698,-5.972606738439136
42,-4.900282070327829,-6.261547169422678
43,-4.993920105458064,-6.562603512914242
44,-5.074641600341092,-6.875385323617065
45,-5.13976939633,-7.199175174286954
46,-5.18638340853723,-7.532851106706104
47,-5.211352628904264,-7.8748005829035215
48,-5.211390531611302,-8.22283409069028
49,-5.183137497276764,-8.57409092028022
50,-5.123277252314102,-8.924964234565572
51,-5.028687726627395,-9.271040751868908
52,-4.8966277375842076,-9.60707465315918
53,-4.724955199450522,-9.927011314669276
54,-4.512363958578071,-10.224078200974867
55,-4.2586153146822205,-10.490954999605789
56,-3.964752567630472,-10.720024633128219
57,-3.6332613643421725,-10.90371257446616
58,-3.26812615901945,-11.034886914323142
59,-2.8747952201035107,-11.107301127551997
60,-2.4599972711499554,-11.116019812755034
61,-2.0314417001814293,-11.057790131523149
62,-1.5974129801492731,-10.93131248601708
63,-1.1663001902289043,-10.737349098069862
64,-0.7461193859368939,-10.47869201208722
65,-0.3440781866868141,-10.159963447788641
66,0.033765857327808735,-9.787290169109129
67,0.3827259515949224,-9.367897024525247
68,0.6995782366118525,-8.909667720384014
69,0.9825316635265113,-8.420718115673298
70,1.2310984928656337,-7.909021692514455
71,1.4459000658686691,-7.382110719674812
72,1.6284396954095983,-6.846858340718623
73,1.780863721064255,-6.309348021761253
74,1.9057429447443772,-5.774807545068166
75,2.0058776140731713,-5.247609647865159
76,2.0841404375238857,-4.731303769250887
77,2.143354818679113,-4.228688126351327
78,2.186207105062224,-3.7418857976551454
79,2.215188886936769,-3.272434787881849
80,2.23256395469889,-2.821375652523266
81,2.240353872227388,-2.38933387531716
82,2.2403373544010496,-1.9765948811490355
83,2.234059049064777,-1.5831702987276364
84,2.2228445393365677,-1.2088555968908137
85,2.2078203407449895,-0.8532800123869166
