t,x(t)
102,-0.6089321963309928
103,-0.6238033841041707
104,-0.6386382829692625
105,-0.6534354711560724
106,-0.6681935207199614
107,-0.682910988082417
108,-0.6975864278232407
109,-0.7122183945191674
110,-0.7268054388942512
111,-0.741346101959001
112,-0.7558389233841829
113,-0.7702824428328229
114,-0.7846751973077168
115,-0.7990157185626722
116,-0.8133025379053924
117,-0.8275341866304803
118,-0.8417091945800089
119,-0.8558260901593638
120,-0.8698834019737415
121,-0.883879658612592
122,-0.8978133885583
123,-0.9116831221522096
124,-0.9254873903541119
125,-0.9392247241108808
126,-0.9528936557110214
127,-0.9664927221623958
128,-0.980020461359762
129,-0.99347541119633
130,-1.0068561124299726
131,-1.0201611129678805
132,-1.0333889617556302
133,-1.0465382077624528
134,-1.0596074044625226
135,-1.0725951145489994
136,-1.085499901812741
137,-1.0983203301106736
138,-1.1110549695303122
139,-1.1237024011207848
140,-1.1362612070266673
141,-1.1487299695235005
142,-1.161107278928565
143,-1.1733917379561845
144,-1.1855819503671654
145,-1.1976765199248502
146,-1.2096740593008326
147,-1.2215731974552995
148,-1.233372564881304
149,-1.2450707920719006
150,-1.2566665123245946
151,-1.2681583794647622
152,-1.2795450563567172
153,-1.2908252059010454
154,-1.301997491070904
155,-1.3130605858386257
156,-1.3240131864618985
157,-1.3348539918681481
158,-1.3455817009848006
159,-1.3561950146834696
160,-1.3666926565341762
161,-1.3770733647014497
162,-1.3873358775855864
163,-1.3974789335922808
164,-1.4075012805953449
165,-1.417401694622397
166,-1.4271789568813382
167,-1.4368318485800695
168,-1.4463591520736179
169,-1.4557596726682969
170,-1.4650322367767994
171,-1.4741756715911758
172,-1.483188804303476
173,-1.4920704681196342
174,-1.5008195301887086
175,-1.509434868833703
176,-1.5179153623781652
177,-1.5262598891452206
178,-1.5344673373484354
179,-1.542536632863264
180,-1.5504667104890424
181,-1.558256505025108
182,-1.565904951273823
183,-1.57341099637077
184,-1.5807736269991306
185,-1.5879918377266606
186,-1.595064623121117
187,-1.6019909777724997
188,-1.6087699113567302
189,-1.6154004744918102
190,-1.6218817246563513
191,-1.6282127193289646
192,-1.634392516059514
193,-1.6404201905260287
194,-1.6462948602442018
195,-1.652015648599597
196,-1.6575816789777784
197,-1.662992074930079
198,-1.6682459814334367
199,-1.6733425857009219
200,-1.678281079877036
201,-1.683060656106281
202,-1.6876805068452692
203,-1.6921398493780953
204,-1.69643794332262
205,-1.700574052418403
206,-1.7045474404050036
207,-1.7083573715007836
208,-1.7120031377042402
209,-1.7154840734649415
210,-1.7187995168084096
211,-1.7219488057601653
212,-1.7249312790250528
213,-1.7277463059091718
214,-1.7303932980267365
215,-1.7328716700877205
216,-1.7351808368020976
217,-1.7373202138109372
218,-1.7392892502064257
219,-1.7410874369671119
220,-1.7427142677151821
221,-1.744169236072822
222,-1.7454518369026064
223,-1.7465616013696572
224,-1.747498101836844
225,-1.7482609128907918
226,-1.7488496091181251
227,-1.7492637667185174
228,-1.7495030010165493
229,-1.7495669675945567
230,-1.7494553238744948
231,-1.7491677272783188
232,-1.7487038300133055
233,-1.7480633055079495
234,-1.7472459134373186
235,-1.7462514213754778
236,-1.7450795968964916
237,-1.743730207574425
238,-1.742203020983343
239,-1.7404978046973099
240,-1.738614331108287
241,-1.7365524467659639
242,-1.7343120561924545
243,-1.7318930654408955
244,-1.7292953805644247
245,-1.726518907616179
246,-1.723563552649296
247,-1.7204292217169128
248,-1.7171158281811785
249,-1.7136233673092207
250,-1.709951885664884
251,-1.7061014305929456
252,-1.702072049438183
253,-1.6978637895453734
254,-1.6934766982592946
255,-1.688910822924724
256,-1.6841662214141735
257,-1.6792430399552678
258,-1.6741414688383565
259,-1.6688616986736347
260,-1.6634039200712976
261,-1.6577683236415401
262,-1.651955099994557
263,-1.645964439740544
