t,x(t)
150,-9.350614587037725
151,-9.403820982437498
152,-9.446778518519697
153,-9.47881534823814
154,-9.499395633103967
155,-9.508135413801197
156,-9.50481543954691
157,-9.489387663791696
158,-9.461978934312567
159,-9.422890835321038
160,-9.372596233087476
161,-9.311731103137525
162,-9.241079758031352
163,-9.161558518470889
164,-9.074197102739648
165,-8.980118102363933
166,-8.880514564872424
167,-8.77662610964825
168,-8.669716701812392
169,-8.56105358324576
170,-8.451887303792548
171,-8.343433182373179
172,-8.23685595581463
173,-8.133257185641549
174,-8.0336651058446
175,-7.939026471110954
176,-7.8502001533354475
177,-7.76795571159397
178,-7.692971217799853
179,-7.625833984472183
180,-7.567042232471675
181,-7.517007813353782
182,-7.47605959123706
183,-7.444447147397173
184,-7.42234488262761
185,-7.409856159211944
186,-7.407016028943117
187,-7.4137961543192645
188,-7.430106465177418
189,-7.455796461879439
190,-7.490657584323548
191,-7.534424277579834
192,-7.5867740843788125
193,-7.647326317237268
194,-7.71564142449366
195,-7.791219215453171
196,-7.873500852110292
197,-7.9618613011193125
198,-8.055611488118874
199,-8.1539995378589
200,-8.256205267112778
201,-8.361343137222864
202,-8.468467184401662
203,-8.57656992018619
204,-8.684588706262057
205,-8.791415983070513
206,-8.89590540921061
207,-8.99688465185022
208,-9.093170923422063
209,-9.183585152450183
210,-9.266973378883412
211,-9.342224944848113
212,-9.408291794442707
213,-9.464217716860249
214,-9.509153835498541
215,-9.542376384687156
216,-9.563318221251413
217,-9.571575603015422
218,-9.566916323285598
219,-9.549304100249733
220,-9.518893225070459
221,-9.476021254991968
222,-9.421218404238088
223,-9.355190533287118
224,-9.27879697756717
225,-9.193043460229482
226,-9.099057277146741
227,-8.998057639322335
228,-8.891337676780132
229,-8.78023716718417
230,-8.666115540765801
231,-8.550331846206088
232,-8.434219821789586
233,-8.319071041459766
234,-8.206120174603734
235,-8.096525492051873
236,-7.991363969950327
237,-7.891624997118461
238,-7.798197527552463
239,-7.711874000024523
240,-7.633351850467327
241,-7.563226096270005
242,-7.502000495146431
243,-7.450086487354505
244,-7.407809145192596
245,-7.375411418124774
246,-7.3530588507558265
247,-7.340843960358538
248,-7.338790422805112
249,-7.34685679243148
250,-7.364939773996037
251,-7.392874568884764
252,-7.430441119906879
253,-7.477357446507764
254,-7.533285726982243
255,-7.597830969237923
256,-7.670534298362267
257,-7.750877212414472
258,-7.838278888916584
259,-7.932088166632465
260,-8.031588347122465
261,-8.135994527322866
262,-8.244446578438202
263,-8.356017386794813
264,-8.469710760795774
265,-8.584462744772727
266,-8.699149161776587
267,-8.812593746597512
268,-8.923576139145911
269,-9.030844648223079
270,-9.133133158093125
271,-9.229177095259042
272,-9.317734584317257
273,-9.39761014616049
274,-9.467674443239057
275,-9.526892511634097
276,-9.574346227380842
277,-9.609258035589736
278,-9.631012469143467
279,-9.639174272056056
280,-9.63350284056979
281,-9.613961982486233
282,-9.58072459783173
283,-9.534171427096995
284,-9.474885354816974
285,-9.403638981251579
286,-9.321378002770533
287,-9.229200254565262
288,-9.128331459434689
289,-9.020098593815883
290,-8.905902039047676
291,-8.787187572229346
292,-8.665419141792096
293,-8.542053273847165
294,-8.418515948344815
295,-8.296181316781032
296,-8.176356349012462
297,-8.060265331051122
298,-7.949038764931292
299,-7.843707085756698
300,-7.74519650016192
301,-7.654327040943817
302,-7.571811700812755
303,-7.498258868346564
304,-7.434177001782366
305,-7.379979149726148
306,-7.335987891475529
307,-7.302439855061698
308,-7.279492212707416
309,-7.267226562154069
310,-7.265658304821435
311,-7.27473286569373
312,-7.294334665921716
313,-7.324290198510775
314,-7.364363863952194
315,-7.41426305123632
316,-7.473639138229385
317,-7.542080582700243
318,-7.6191153557255955
319,-7.704210551749119
320,-7.796763626755566
321,-7.896101622031216
322,-8.001486386823297
323,-8.112094531927248
324,-8.227039189556296
325,-8.345344893017804
326,-8.465968930167692
327,-8.587792099451773
328,-8.709625393974628
329,-8.83022458996737
330,-8.948287812106482
331,-9.062482181273175
332,-9.171449582695502
333,-9.273832818905568
334,-9.368291963867389
335,-9.453537952905782
336,-9.52834378358649
337,-9.59158646244448
338,-9.642266753855393
339,-9.679536628078106
340,-9.702723267807738
341,-9.711349667467376
342,-9.70515097078383
343,-9.684085652975028
344,-9.648340782411998
345,-9.59833128849701
346,-9.534692680357624
347,-9.458267396997218
348,-9.37008608149941
349,-9.271342909242124
350,-9.163370076217555
351,-9.047607015948248
352,-8.92556959049006
353,-8.798819014718783
354,-8.668931804679092
355,-8.537471726688047
356,-8.405964496223326
357,-8.275875795844502
358,-8.148592947433562
359,-8.025410617835329
360,-7.907519239477105
361,-7.795998703055289
362,-7.6918140666883685
363,-7.595814499625394
364,-7.508734561650037
365,-7.431197411079
366,-7.363719394866733
367,-7.306715670126251
368,-7.260506644997347
369,-7.225324467538964
